timestamp,x,y,z
0,1.74,-3.76,8.55
10,1.61,-3.74,8.76
20,1.43,-3.73,8.95
30,1.07,-3.81,9.17
40,0.76,-3.83,9.54
50,0.95,-3.89,10.05
60,1.54,-4.1,10.67
70,2.59,-4.41,11.62
80,3.69,-4.8,13.07
90,4.71,-5.08,14.73
100,5.32,-5.16,16.54
110,5.54,-5.04,17.6
120,5.6,-4.35,17.79
130,5.54,-3.42,16.84
140,5.3,-2.8,14.6
150,5.44,-2.6,11.16
160,5.62,-2.71,7.66
170,5.97,-3.29,4.76
180,6.65,-3.76,2.76
190,7.34,-4.14,1.66
200,7.92,-4.44,0.8
210,8.31,-4.53,-0.23
220,8.46,-4.44,-1.27
230,8.59,-4.32,-4.13
240,10.03,-4.33,-7.48
250,9.87,-3.59,-10.42
260,7.92,-2.13,-12.06
270,4.77,-0.18,-12.32
280,2.0,1.82,-11.63
290,0.38,3.96,-9.8
300,0.72,6.05,-7.54
310,1.6,8.35,-4.16
320,2.55,10.01,-1.45
330,2.68,12.02,1.17
340,1.57,13.21,4.13
350,-1.06,13.93,7.86
360,-3.69,14.54,11.26
370,-4.92,14.83,13.41
380,-4.39,14.8,14.17
390,-3.89,14.73,14.57
400,-4.04,14.9,15.9
410,-5.3,14.92,18.07
420,-5.66,14.23,21.44
430,-6.29,13.18,25.43
440,-6.57,11.92,29.17
450,-4.5,9.91,33.24
460,-1.71,10.05,32.3
470,-4.0,10.89,23.89
480,-7.1,12.08,16.19
490,-6.0,12.5,10.26
500,-1.84,12.06,6.1
510,-0.64,11.56,5.44
520,-1.56,11.18,7.33
530,-2.3,10.95,9.54
540,-2.45,10.84,11.49
550,-2.39,11.06,13.77
560,-0.91,11.63,16.39
570,1.47,12.53,18.8
580,4.03,13.8,20.91
590,5.56,15.34,21.98
600,7.0,17.0,21.36
610,9.4,18.27,18.98
620,12.48,18.48,15.69
630,15.03,17.99,12.91
640,16.22,17.4,11.86
650,16.75,16.7,12.59
660,17.37,16.0,13.75
670,18.29,15.24,14.34
680,18.79,14.48,13.46
690,18.07,13.6,10.68
700,15.94,12.48,6.96
710,12.61,10.87,2.67
720,9.45,8.87,-1.13
730,7.05,6.51,-3.77
740,6.27,3.92,-5.71
750,7.51,1.56,-6.58
760,8.97,-0.3,-6.06
770,9.31,-1.37,-5.12
780,8.29,-1.86,-4.11
790,6.33,-1.76,-3.08
800,4.17,-1.53,-1.87
810,1.82,-1.35,-1.43
820,-0.35,-1.18,-1.32
830,-2.42,-1.21,-1.28
840,-4.17,-1.4,-0.79
850,-5.41,-1.68,-0.61
860,-5.89,-1.94,0.99
870,-5.9,-2.04,2.85
880,-6.11,-2.22,4.66
890,-6.38,-2.39,5.72
900,-6.44,-2.6,6.29
910,-6.11,-2.66,6.99
920,-5.41,-2.8,8.33
930,-4.94,-3.06,10.04
940,-5.06,-3.26,11.9
950,-5.44,-3.27,13.33
960,-5.86,-3.15,13.86
970,-6.04,-3.04,13.24
980,-5.93,-2.97,12.11
990,-5.75,-3.12,11.48
1000,-5.66,-3.39,11.68
