timestamp,x,y,z
0,-2.25,-5.37,0.85
10,-1.98,-5.78,0.6
20,-1.45,-6.04,0.42
30,-0.79,-6.14,0.49
40,0.09,-6.2,0.96
50,0.91,-6.26,1.86
60,1.4,-6.23,2.78
70,1.55,-6.17,3.52
80,1.29,-6.0,3.95
90,0.41,-5.62,3.78
100,-0.23,-5.36,3.19
110,-0.79,-5.08,2.32
120,-1.03,-4.91,1.31
130,-0.61,-4.93,0.35
140,0.06,-4.95,-0.42
150,0.53,-4.87,-1.14
160,0.44,-4.52,-1.67
170,-0.46,-4.06,-2.35
180,-1.41,-3.41,-2.83
190,-2.57,-2.7,-3.36
200,-3.92,-1.96,-4.19
210,-4.89,-0.35,-4.77
220,-5.22,0.68,-4.09
230,-5.8,1.55,-4.1
240,-5.75,3.16,-4.6
250,-5.46,4.95,-5.51
260,-5.32,7.3,-6.42
270,-4.88,10.16,-6.77
280,-4.28,13.72,-6.63
290,-2.68,17.91,-5.32
300,-0.49,20.82,-2.54
310,2.06,23.55,-0.07
320,3.57,25.01,8.25
330,6.5,26.9,9.83
340,8.15,27.65,12.52
350,8.4,27.11,14.67
360,8.72,26.61,15.92
370,9.28,26.33,15.98
380,9.6,26.8,15.95
390,9.86,27.38,16.05
400,11.07,27.28,16.32
410,12.96,26.2,16.71
420,14.47,24.33,16.97
430,15.37,22.15,16.92
440,15.58,20.02,16.55
450,15.08,18.4,15.85
460,14.45,17.27,14.83
470,13.76,16.61,14.39
480,11.93,16.3,13.87
490,9.83,16.45,12.99
500,8.64,16.97,12.2
510,7.64,17.14,11.93
520,6.46,16.93,12.12
530,5.45,16.44,12.68
540,4.36,15.62,13.4
550,3.26,15.51,14.24
560,2.34,15.09,14.13
570,1.82,15.22,14.33
580,0.96,15.31,14.05
590,0.27,15.41,13.34
600,-0.17,15.43,12.55
610,-0.3,15.42,12.0
620,0.28,15.44,11.75
630,1.42,15.53,11.74
640,3.0,15.72,11.78
650,4.3,15.99,11.51
660,4.95,16.23,11.13
670,5.73,16.5,10.6
680,6.45,16.74,9.97
690,7.23,17.0,9.13
700,8.22,16.9,8.24
710,9.08,16.94,7.7
720,9.5,16.71,7.23
730,9.42,16.38,6.56
740,9.4,16.15,5.49
750,9.3,15.81,4.18
760,8.58,15.87,2.86
770,7.53,15.76,1.5
780,6.43,14.76,0.46
790,5.66,13.32,-0.19
800,5.36,11.81,-0.92
810,6.63,9.51,-0.9
820,3.09,8.96,-3.21
830,0.9,8.24,-5.48
840,-2.39,6.62,-3.95
850,-4.51,5.1,-4.75
860,-4.98,3.7,-5.72
870,-4.77,2.12,-6.85
880,-4.18,0.59,-7.74
890,-3.36,-0.64,-8.46
900,-2.24,-1.57,-8.6
910,-0.69,-2.36,-8.42
920,0.72,-3.25,-7.96
930,1.54,-4.32,-7.12
940,1.83,-5.45,-6.15
950,1.86,-6.74,-5.1
960,2.15,-7.11,-4.07
970,2.43,-6.99,-2.94
980,2.89,-6.76,-2.2
990,2.94,-7.04,-1.64
1000,3.13,-7.01,-0.99
