timestamp,x,y,z
0,1.27,-6.73,6.56
10,1.18,-6.74,6.56
20,1.02,-6.73,6.73
30,0.92,-6.73,6.92
40,0.9,-6.73,7.08
50,0.9,-6.73,7.21
60,0.87,-6.71,7.21
70,0.81,-6.74,7.11
80,0.76,-6.84,6.85
90,0.99,-6.76,6.62
100,0.64,-6.76,6.84
110,0.41,-6.71,6.99
120,0.33,-6.76,7.02
130,0.39,-6.66,6.96
140,0.67,-6.53,6.42
150,0.25,-6.23,6.08
160,0.01,-6.57,6.39
170,-0.9,-6.73,7.01
180,0.68,-6.66,5.69
190,0.93,-6.71,5.41
200,0.53,-5.44,5.8
210,-1.23,-5.18,6.62
220,-1.92,-5.69,8.06
230,-1.62,-6.66,9.17
240,0.09,-7.1,9.58
250,1.18,-7.41,9.0
260,2.07,-8.02,8.4
270,3.1,-8.63,7.92
280,3.51,-8.35,7.16
290,3.3,-8.03,6.27
300,2.96,-8.02,5.42
310,2.72,-7.92,4.54
320,2.47,-7.86,4.06
330,2.21,-7.88,3.52
340,1.83,-7.92,2.85
350,1.84,-7.84,3.58
360,1.53,-7.63,4.92
370,2.04,-7.71,5.39
380,1.98,-7.84,5.28
390,1.38,-7.73,5.33
400,0.62,-7.64,5.92
410,0.22,-7.58,6.72
420,0.3,-7.51,7.02
430,0.88,-7.53,6.9
440,1.43,-7.59,6.62
450,1.71,-7.64,6.41
460,1.91,-7.65,6.25
470,2.12,-7.65,6.15
480,2.34,-7.63,6.1
490,2.43,-7.56,6.05
500,2.52,-7.52,6.03
510,2.36,-7.47,6.03
520,2.14,-7.43,6.01
530,1.8,-7.32,6.04
540,1.65,-7.34,6.01
550,1.83,-7.48,6.11
560,2.07,-7.53,6.16
570,2.09,-7.53,6.1
580,2.26,-7.46,5.96
590,2.43,-7.46,5.73
600,2.45,-7.54,5.6
610,2.38,-7.68,5.73
620,2.55,-7.84,5.93
630,2.7,-7.95,5.9
640,2.67,-7.91,5.82
650,2.4,-7.83,5.78
660,2.15,-7.62,5.83
670,2.41,-7.53,5.51
680,3.11,-7.64,4.14
690,4.48,-7.87,3.45
700,4.87,-7.94,3.4
710,5.41,-7.46,4.31
720,5.95,-7.35,4.19
730,4.55,-8.09,3.81
740,3.24,-8.21,4.51
750,2.67,-7.92,5.24
760,2.64,-7.94,5.65
770,2.54,-8.01,5.89
780,2.74,-8.16,6.06
790,3.28,-7.92,6.71
800,3.62,-7.59,6.88
810,3.88,-7.61,6.64
820,3.36,-7.3,6.02
830,2.62,-7.12,5.18
840,1.77,-7.51,5.1
850,0.91,-7.92,5.83
860,1.22,-7.88,6.59
870,1.11,-7.97,6.67
880,0.79,-7.86,6.56
890,-0.01,-7.7,6.47
900,0.67,-7.12,7.09
910,2.32,-6.74,7.06
920,3.04,-6.79,6.75
930,3.73,-7.02,6.44
940,4.48,-6.95,5.86
950,4.77,-6.85,5.1
960,4.53,-6.87,3.68
970,4.51,-6.76,2.78
980,4.87,-6.81,2.77
990,5.14,-7.05,4.41
1000,6.05,-7.2,5.15
